nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
74,1,0,NN,316,5,5,24,10000,3162,0.1,TRUE,TRUE
75,1,0,NN,316,5,5,25,10000,3162,0.1,TRUE,TRUE
76,1,0,NN,316,5,5,26,10000,3162,0.1,TRUE,TRUE
77,1,0,NN,316,5,5,27,10000,3162,0.1,TRUE,TRUE
78,1,0,NN,316,5,5,28,10000,3162,0.1,TRUE,TRUE
79,1,0,NN,316,5,5,29,10000,3162,0.1,TRUE,TRUE
80,1,0,NN,316,5,5,30,10000,3162,0.1,TRUE,TRUE
81,1,0,NN,316,5,5,31,10000,3162,0.1,TRUE,TRUE
82,1,0,NN,316,5,5,32,10000,3162,0.1,TRUE,TRUE
83,1,0,NN,316,5,5,33,10000,3162,0.1,TRUE,TRUE
84,1,0,NN,316,5,5,34,10000,3162,0.1,TRUE,TRUE
85,1,0,NN,316,5,5,35,10000,3162,0.1,TRUE,TRUE
86,1,0,NN,316,5,5,36,10000,3162,0.1,TRUE,TRUE
87,1,0,NN,316,5,5,37,10000,3162,0.1,TRUE,TRUE
88,1,0,NN,316,5,5,38,10000,3162,0.1,TRUE,TRUE
89,1,0,NN,316,5,5,39,10000,3162,0.1,TRUE,TRUE
90,1,0,NN,316,5,5,40,10000,3162,0.1,TRUE,TRUE
91,1,0,NN,316,5,5,41,10000,3162,0.1,TRUE,TRUE
92,1,0,NN,316,5,5,42,10000,3162,0.1,TRUE,TRUE
93,1,0,NN,316,5,5,43,10000,3162,0.1,TRUE,TRUE
94,1,0,NN,316,5,5,44,10000,3162,0.1,TRUE,TRUE
95,1,0,NN,316,5,5,45,10000,3162,0.1,TRUE,TRUE
96,1,0,NN,316,5,5,46,10000,3162,0.1,TRUE,TRUE
97,1,0,NN,316,5,5,47,10000,3162,0.1,TRUE,TRUE
98,1,0,NN,316,5,5,48,10000,3162,0.1,TRUE,TRUE
99,1,0,NN,316,5,5,49,10000,3162,0.1,TRUE,TRUE
100,1,0,NN,316,5,5,50,10000,3162,0.1,TRUE,TRUE
101,1,0,NN,1000,5,5,1,10000,3162,0.1,TRUE,TRUE
102,1,0,NN,1000,5,5,2,10000,3162,0.1,TRUE,TRUE
103,1,0,NN,1000,5,5,3,10000,3162,0.1,TRUE,TRUE
104,1,0,NN,1000,5,5,4,10000,3162,0.1,TRUE,TRUE
105,1,0,NN,1000,5,5,5,10000,3162,0.1,TRUE,TRUE
106,1,0,NN,1000,5,5,6,10000,3162,0.1,TRUE,TRUE
